account,Institution,Addr2,Attn,City,State,ZIP,Country,Phone,Addr1,HemoCue Order#,PO,Customer PO,139002002,171001002,171002002,171003002,188001002,188002002,188003002
54934,NORTHSIDE PEDS,1443 N Robberson Ave Ste 200,,Springfield,MO,65802-1982,US,,,1081246,F,140186-0-DS,,1,,1,,,
16330,BROOKE ARMY MEDICAL CENTER,3551 ROGER BROOK DR.,BLDG 3600/MEDICAL SUPPLY OFFCR,FORT SAM HOUSTON,TX,78234-4504,US,210-916-5734,KAUSHARL JAYAWRAGENA,1081229,V,KJHEC0114,,,,,2,2,2
24979,SPARTANBURG REG HEALTHCARE SYS,101 E Wood St,Receiving Dock,Spartanburg,SC,09303-3040,US,,RHONDA RICE 864-560-6486,1081217,F,13-1005678,,1,,1,,,
72446,ST FRANCIS MEDICAL CTR,3630 EAST IMPERIAL HWY,SF-7195- Huntington Park/RCVG,LYNWOOD,CA,90262,US,,,1081136,F,SF14972713A,,,,2,,,
98834,LOS ROBLES HOSP,215 W Janss Rd,ATTN: WAREHOUSE,Thousand Oaks,CA,91360-1847,US,,,1081253,F,377512,,3,3,3,,,
54113,MIDDLE PARK MEDICAL CENTER,1000 GRANBY PARK DRIVE SOUTH,,GRANDBY,CO,80446,US,,,1081201,E,G28176,,1,,1,,,
20092,MEMORIAL MEDICAL CENTER,236 E Union St,,Springfield,IL,62702-5246,US,217-788-3423,KELSIE HUGHES,1081251,F,2013100311218-0-SPEC,,6,,6,,,
14323,SAMARITAN NORTH LINCOLN HOSP,3043 Ne 28th St,Receiving Dept,Lincoln City,OR,97367-4518,US,541-996-7143,SUZIE MOORE,1081087,V,2400001570,,10,,10,,,
CH1001,CHILDRENS HOSPITAL OF ALABAMA,1604 6th Ave S,Dock A,Birmingham,AL,35233,US,,,1081090,EDI,4221052423,2,,,,,,
CH1001,HCA MIDWEST WOMENS HC SPECIALI,5330 N Oak Trfy Ste 203,Gpoid H019378 Coid 20639 602,Kansas City,MO,64118-4600,US,,,1081095,EDI,4221054502,,,,1,,,
CH1001,HCAPS WOMNS CTR @ BROOKSIDE,6675 Holmes Rd Ste 300,Gpoid S002805 Coid 20639 Dp601,Kansas City,MO,64131-1167,US,,,1081098,EDI,4221054530,,,,1,,,
CH1001,MIDWEST WOMANS HLTHCARE,6400 Prospect Ave Ste 598,GPOIDH013339COID20639 DEPT 601,Kansas City,MO,64132-4128,US,,,1081097,EDI,4221054529,,,,1,,,
CH1001,SAINT MARYS HOSPITAL,800 S Washington Ave,CUST ORDER# 473196,Saginaw,MI,48601-2551,US,,,1081093,EDI,4221053681,,1,,1,,,
21952,PLANNED PARENTHOOD #375,7424 GREENVILLE AVE #211-A,,DALLAS,TX,75231,US,,MELANY HELINSKI,1081298,F,8147-DALLAS AB,,1,,1,,,
22868,OneBlood - Central,8663 Commodity Cir,,Orlando,FL,32819-9003,US,,,1081078,V,7030,,,,,1,1,1
